ID;FullName;CityName;OblName
12795;Щучин, Гродненская обл., Белоруссия (Беларусь);Щучин, Гродненская обл.;Гродненскаяобл.
5355;Березино, Минская обл., Белоруссия (Беларусь);Березино, Минская обл.;Минскаяобл.
5484;Бобр, Минская обл., Белоруссия (Беларусь);Бобр, Минская обл.;Минскаяобл.
5536;Борисов, Минская обл., Белоруссия (Беларусь);Борисов, Минская обл.;Минскаяобл.
6118;Вилейка, Минская обл., Белоруссия (Беларусь);Вилейка, Минская обл.;Минскаяобл.
6255;Воложин, Минская обл., Белоруссия (Беларусь);Воложин, Минская обл.;Минскаяобл.
6565;Городея, Минская обл., Белоруссия (Беларусь);Городея, Минская обл.;Минскаяобл.
6923;Дзержинск, Минская обл., Белоруссия (Беларусь);Дзержинск, Минская обл.;Минскаяобл.
7168;Жодино, Минская обл., Белоруссия (Беларусь);Жодино, Минская обл.;Минскаяобл.
7214;Заславль, Минская обл., Белоруссия (Беларусь);Заславль, Минская обл.;Минскаяобл.
7238;Зеленый Бор, Минская обл., Белоруссия (Беларусь);Зеленый Бор, Минская обл.;Минскаяобл.
7292;Ивенец, Минская обл., Белоруссия (Беларусь);Ивенец, Минская обл.;Минскаяобл.
7976;Клецк, Минская обл., Белоруссия (Беларусь);Клецк, Минская обл.;Минскаяобл.
8150;Копыль, Минская обл., Белоруссия (Беларусь);Копыль, Минская обл.;Минскаяобл.
8311;Крупки, Минская обл., Белоруссия (Беларусь);Крупки, Минская обл.;Минскаяобл.
8727;Логойск, Минская обл., Белоруссия (Беларусь);Логойск, Минская обл.;Минскаяобл.
9014;Марьина Горка, Минская обл., Белоруссия (Беларусь);Марьина Горка, Минская обл.;Минскаяобл.
9220;Минск, Минская обл.;Минск, Минская обл.;Минскаяобл.
9276;Молодечно, Минская обл., Белоруссия (Беларусь);Молодечно, Минская обл.;Минскаяобл.
9405;Мядель, Минская обл., Белоруссия (Беларусь);Мядель, Минская обл.;Минскаяобл.
9498;Несвиж, Минская обл., Белоруссия (Беларусь);Несвиж, Минская обл.;Минскаяобл.
10233;Пинск, Брестская обл., Белоруссия (Беларусь);Пинск, Брестская обл.;Минскаяобл.
11258;Слуцк, Минская обл., Белоруссия (Беларусь);Слуцк, Минская обл.;Минскаяобл.
11266;Смолевичи, Минская обл., Белоруссия (Беларусь);Смолевичи, Минская обл.;Минскаяобл.
11288;Солигорск, Минская обл., Белоруссия (Беларусь);Солигорск, Минская обл.;Минскаяобл.
11373;Старые Дороги, Минская обл., Белоруссия (Беларусь);Старые Дороги, Минская обл.;Минскаяобл.
11404;Столбцы, Минская обл., Белоруссия (Беларусь);Столбцы, Минская обл.;Минскаяобл.
11849;Узда, Минская обл., Белоруссия (Беларусь);Узда, Минская обл.;Минскаяобл.
12546;Червень, Минская обл., Белоруссия (Беларусь);Червень, Минская обл.;Минскаяобл.
5311;Белыничи, Могилевская обл., Белоруссия (Беларусь);Белыничи, Могилевская обл.;Могилевскаяобл.
5488;Бобруйск, Могилевская обл., Белоруссия (Беларусь);Бобруйск, Могилевская обл.;Могилевскаяобл.
5760;Быхов, Могилевская обл., Белоруссия (Беларусь);Быхов, Могилевская обл.;Могилевскаяобл.
6510;Глуск, Могилевская обл., Белоруссия (Беларусь);Глуск, Могилевская обл.;Могилевскаяобл.
6512;Глуша, Могилевская обл., Белоруссия (Беларусь);Глуша, Могилевская обл.;Могилевскаяобл.
6556;Горки, Могилевская обл., Белоруссия (Беларусь);Горки, Могилевская обл.;Могилевскаяобл.
6667;Гродзянка, Могилевская обл., Белоруссия (Беларусь);Гродзянка, Могилевская обл.;Могилевскаяобл.
